EnglishName,LatinName,SlovenianName
Sessile oak, Quercus petraea, Hrast graden  
Pedunculate oak, Quercus robur, Hrast dob  
Beech, Fagus sylvatica, Bukev  
Black locust, Robinia pseudoacacia, Robinija  
European ash, Fraxinus excelsior, Veliki jesen  
Linden, Tilia spp., Lipa  
Wild cherry, Prunus avium, Divja češnja  
Sharp-leaved ash, Fraxinus angustifolia, Ostrolistni jesen  
Black alder, Alnus glutinosa, Črna jelša  
Walnut, Juglans regia, Domači oreh  
Black poplar, Populus nigra, Črni topol  
Pear, Pyrus spp., Hruška  
Sweet chestnut, Castanea sativa, Pravi kostanj  
Douglas fir, Pseudotsuga menziesii, Duglazija  
Northern red oak, Quercus rubra, Rdeči hrast  
European white elm, Ulmus laevis, Vezi  
Eastern white pine, Pinus strobus, Zeleni bor  
Scots pine, Pinus sylvestris, Rdeči bor  
Spruce, Picea abies, Smreka  
Sycamore maple, Acer pseudoplatanus, Gorski javor